,Player,Age,Year,Pos,Cat_POS,Team,BaseSalary,SigningBonus,Cap Hit,Salary%,Conf,Division,Wins,Losses,Ties,Win %,Div_Rank,Scored,Allowed,Net,SOV,SOS,Playoff,Won Superbowl
13,Tom Brady,34,2011,QB,Offense,NE,5750000,3200000,12950000,0.102,AFC,AFC East,13,3,0,0.8125,1,513,342,171,0.423077,0.449219,Yes,No
14,Jake Long,26,2011,LT,Offense,MIA,11200000,0,12800000,0.099,AFC,AFC East,6,10,0,0.375,3,329,313,16,0.416667,0.503906,No,No
15,Drew Brees,32,2011,QB,Offense,NO,7393500,0,12574700,0.101,NFC,NFC South,13,3,0,0.8125,1,547,339,208,0.442308,0.441406,Yes,No
16,Paul Soliai,28,2011,DT,Defense,MIA,12476000,0,12476000,0.097,AFC,AFC East,6,10,0,0.375,3,329,313,16,0.416667,0.503906,No,No
17,Sam Bradford,24,2011,QB,Offense,LAR/STL,450000,3595000,12465000,0.101,NFC,NFC West,2,14,0,0.125,4,193,407,-214,0.53125,0.589844,No,No
18,Ndamukong Suh,24,2011,DT,Defense,DET,1239706,0,11904706,0.098,NFC,NFC North,10,6,0,0.625,2,474,387,87,0.39375,0.535156,Yes,No
19,Brian Urlacher,33,2011,LB,Defense,CHI,8025000,1200000,11825000,0.092,NFC,NFC North,8,8,0,0.5,3,353,341,12,0.40625,0.527344,No,No
20,Jason Smith,25,2011,LT,Offense,LAR/STL,8500000,0,11767500,0.095,NFC,NFC West,2,14,0,0.125,4,193,407,-214,0.53125,0.589844,No,No
21,Jared Allen,29,2011,DE,Defense,MIN,8979438,2583344,11762782,0.096,NFC,NFC North,3,13,0,0.1875,4,340,449,-109,0.395833,0.558594,No,No
22,Vincent Jackson,28,2011,WR,Offense,LAC/SD,11424000,0,11424000,0.095,AFC,AFC West,8,8,0,0.5,2,406,377,29,0.429688,0.515625,No,No
23,Darrius Heyward-Bey,24,2011,WR,Offense,LV/OAK,1000000,0,11415000,0.093,AFC,AFC West,8,8,0,0.5,3,359,433,-74,0.4375,0.503906,No,No
24,Tyson Jackson,25,2011,DE,Defense,KC,1790000,0,11340000,0.079,AFC,AFC West,7,9,0,0.4375,4,212,338,-126,0.464286,0.511719,No,No
25,Ben Roethlisberger,29,2011,QB,Offense,PIT,6000000,4200000,11320000,0.094,AFC,AFC North,12,4,0,0.75,2,325,227,98,0.411458,0.492188,Yes,No
26,Darrelle Revis,26,2011,CB,Defense,NYJ,6000000,783416,11265916,0.088,AFC,AFC East,8,8,0,0.5,2,377,363,14,0.398438,0.5,No,No
27,Champ Bailey,33,2011,CB,Defense,DEN,6500000,0,11000000,0.075,AFC,AFC West,8,8,0,0.5,1,309,390,-81,0.445312,0.519531,Yes,No
28,Darren McFadden,24,2011,RB,Offense,LV/OAK,7045000,0,10873833,0.088,AFC,AFC West,8,8,0,0.5,3,359,433,-74,0.4375,0.503906,No,No
29,Brandon Marshall,27,2011,WR,Offense,MIA,6500000,1100000,10800000,0.084,AFC,AFC East,6,10,0,0.375,3,329,313,16,0.416667,0.503906,No,No
30,Marcus McNeill,28,2011,T,Offense,LAC/SD,10000000,358200,10358200,0.086,AFC,AFC West,8,8,0,0.5,2,406,377,29,0.429688,0.515625,No,No
31,John Abraham,33,2011,OLB,Defense,ATL,8000000,2083333,10083333,0.084,NFC,NFC South,10,6,0,0.625,2,402,350,52,0.375,0.480469,Yes,No
32,Terrell Suggs,29,2011,OLB,Defense,BAL,3400000,2020000,10020000,0.079,AFC,AFC North,12,4,0,0.75,1,378,266,112,0.484375,0.476562,Yes,No
33,Charles Johnson,25,2011,DE,Defense,CAR,4000000,6000000,10000000,0.081,NFC,NFC South,6,10,0,0.375,3,406,429,-23,0.3125,0.503906,No,No
34,Jordan Gross,31,2011,LT,Offense,CAR,6000000,1000000,10000000,0.081,NFC,NFC South,6,10,0,0.375,3,406,429,-23,0.3125,0.503906,No,No
35,Terence Newman,33,2011,CB,Defense,DAL,8000000,2000000,10000000,0.073,NFC,NFC East,8,8,0,0.5,3,369,347,22,0.375,0.472656,No,No
36,Nnamdi Asomugha,30,2011,CB,Defense,PHI,1000000,0,10000000,0.076,NFC,NFC East,8,8,0,0.5,2,396,328,68,0.398438,0.488281,No,No
37,Steve Smith,32,2011,WR,Offense,CAR,7000000,1550000,9993750,0.081,NFC,NFC South,6,10,0,0.375,3,406,429,-23,0.3125,0.503906,No,No
38,D'Brickashaw Ferguson,28,2011,LT,Offense,NYJ,5615000,266666,9859166,0.077,AFC,AFC East,8,8,0,0.5,2,377,363,14,0.398438,0.5,No,No
39,Jay Cutler,28,2011,QB,Offense,CHI,7600000,1400000,9500000,0.074,NFC,NFC North,8,8,0,0.5,3,353,341,12,0.40625,0.527344,No,No
40,Davin Joseph,28,2011,G,Offense,TB,9500000,0,9500000,0.066,NFC,NFC South,4,12,0,0.25,4,287,494,-207,0.4375,0.550781,No,No
41,Chris Long,26,2011,DE,Defense,LAR/STL,1235000,0,9482500,0.077,NFC,NFC West,2,14,0,0.125,4,193,407,-214,0.53125,0.589844,No,No
42,Steven Jackson,28,2011,RB,Offense,LAR/STL,7200000,2279000,9479000,0.077,NFC,NFC West,2,14,0,0.125,4,193,407,-214,0.53125,0.589844,No,No
43,Levi Brown,27,2011,LT,Offense,ARI,6777500,0,9420000,0.077,NFC,NFC West,8,8,0,0.5,2,312,348,-36,0.390625,0.46875,No,No
44,Chris Gamble,28,2011,CB,Defense,CAR,6244117,1000000,9244117,0.075,NFC,NFC South,6,10,0,0.375,3,406,429,-23,0.3125,0.503906,No,No
45,Matt Schaub,30,2011,QB,Offense,HOU,5700000,750000,9000000,0.075,AFC,AFC South,10,6,0,0.625,1,381,278,103,0.4125,0.453125,Yes,No
46,Russell Okung,23,2011,LT,Offense,SEA,1400000,280000,8880000,0.063,NFC,NFC West,7,9,0,0.4375,3,321,315,6,0.4375,0.511719,No,No
47,Kyle Orton,29,2011,QB,Offense,KC,7379000,0,8879000,0.062,AFC,AFC West,7,9,0,0.4375,4,212,338,-126,0.464286,0.511719,No,No
48,Ed Reed,33,2011,S,Defense,BAL,6500000,1071428,8871428,0.07,AFC,AFC North,12,4,0,0.75,1,378,266,112,0.484375,0.476562,Yes,No
49,Charles Woodson,35,2011,SS,Defense,GB,7850000,0,8787500,0.07,NFC,NFC North,15,1,0,0.9375,1,560,359,201,0.458333,0.457031,Yes,No
50,Tony Gonzalez,35,2011,TE,Offense,ATL,5750000,1000000,8734375,0.073,NFC,NFC South,10,6,0,0.625,2,402,350,52,0.375,0.480469,Yes,No
51,Andre Smith,24,2011,G,Offense,CIN,1677500,0,8686750,0.064,AFC,AFC North,9,7,0,0.5625,3,344,323,21,0.326389,0.492188,Yes,No
52,Jason Witten,29,2011,TE,Offense,DAL,3391000,3700000,8591000,0.063,NFC,NFC East,8,8,0,0.5,3,369,347,22,0.375,0.472656,No,No
53,Donald Penn,28,2011,LT,Offense,TB,7200000,333333,8533333,0.059,NFC,NFC South,4,12,0,0.25,4,287,494,-207,0.4375,0.550781,No,No
54,Eric Steinbach,31,2011,G,Offense,CLE,6250000,1666667,8516667,0.066,AFC,AFC North,4,12,0,0.25,4,218,307,-89,0.3125,0.53125,No,No
55,Justin Smith,32,2011,DE,Defense,SF,5000000,2750000,8450000,0.062,NFC,NFC West,13,3,0,0.8125,1,380,229,151,0.418269,0.449219,Yes,No
56,Andrew Whitworth,30,2011,LT,Offense,CIN,3690000,2000000,8390000,0.062,AFC,AFC North,9,7,0,0.5625,3,344,323,21,0.326389,0.492188,Yes,No
57,Kellen Winslow,28,2011,TE,Offense,TB,8290000,0,8290000,0.058,NFC,NFC South,4,12,0,0.25,4,287,494,-207,0.4375,0.550781,No,No
58,Troy Polamalu,30,2011,S,Defense,PIT,3450000,4832500,8282500,0.069,AFC,AFC North,12,4,0,0.75,2,325,227,98,0.411458,0.492188,Yes,No
59,Reggie Wayne,33,2011,WR,Offense,IND,5950000,2083333,8273333,0.067,AFC,AFC South,2,14,0,0.125,4,243,430,-187,0.59375,0.539062,No,No
60,Will Smith,30,2011,OLB,Defense,NO,6000000,2000000,8150000,0.065,NFC,NFC South,13,3,0,0.8125,1,547,339,208,0.442308,0.441406,Yes,No
61,Oshiomogho Atogwe,30,2011,S,Defense,WAS,900000,0,8000000,0.06,NFC,NFC East,5,11,0,0.3125,4,288,367,-79,0.4375,0.476562,No,No
62,Johnathan Joseph,27,2011,CB,Defense,HOU,5500000,2500000,8000000,0.067,AFC,AFC South,10,6,0,0.625,1,381,278,103,0.4125,0.453125,Yes,No
63,Chris Hope,31,2011,S,Defense,TEN,6500000,0,8000000,0.062,AFC,AFC South,9,7,0,0.5625,2,325,317,8,0.395833,0.460938,No,No
64,Trent Williams,23,2011,LT,Offense,WAS,6004470,500000,7984863,0.06,NFC,NFC East,5,11,0,0.3125,4,288,367,-79,0.4375,0.476562,No,No
65,Dunta Robinson,29,2011,CB,Defense,ATL,5500000,1400000,7900000,0.066,NFC,NFC South,10,6,0,0.625,2,402,350,52,0.375,0.480469,Yes,No
66,Greg Jennings,28,2011,WR,Offense,GB,3950000,2812500,7827500,0.062,NFC,NFC North,15,1,0,0.9375,1,560,359,201,0.458333,0.457031,Yes,No
67,Jonathan Vilma,29,2011,ILB,Defense,NO,5130000,2082500,7812500,0.063,NFC,NFC South,13,3,0,0.8125,1,547,339,208,0.442308,0.441406,Yes,No
68,LaRon Landry,27,2011,S,Defense,WAS,5215000,833333,7804333,0.058,NFC,NFC East,5,11,0,0.3125,4,288,367,-79,0.4375,0.476562,No,No
69,Aaron Rodgers,28,2011,QB,Offense,GB,7250000,0,7750000,0.062,NFC,NFC North,15,1,0,0.9375,1,560,359,201,0.458333,0.457031,Yes,No
70,Dallas Clark,32,2011,TE,Offense,IND,4200000,1833333,7723333,0.063,AFC,AFC South,2,14,0,0.125,4,243,430,-187,0.59375,0.539062,No,No
71,DeAngelo Williams,28,2011,RB,Offense,CAR,4500000,3200000,7700000,0.063,NFC,NFC South,6,10,0,0.375,3,406,429,-23,0.3125,0.503906,No,No
72,LaMarr Woodley,27,2011,OLB,Defense,PIT,1100000,2600000,7700000,0.064,AFC,AFC North,12,4,0,0.75,2,325,227,98,0.411458,0.492188,Yes,No
73,Eric Berry,23,2011,FS,Defense,KC,450000,0,7652700,0.053,AFC,AFC West,7,9,0,0.4375,4,212,338,-126,0.464286,0.511719,No,No
74,Anquan Boldin,31,2011,WR,Offense,BAL,6000000,1531250,7531250,0.06,AFC,AFC North,12,4,0,0.75,1,378,266,112,0.484375,0.476562,Yes,No
75,Michael Turner,29,2011,RB,Offense,ATL,5000000,2500000,7500000,0.062,NFC,NFC South,10,6,0,0.625,2,402,350,52,0.375,0.480469,Yes,No
76,Richard Seymour,32,2011,DT,Defense,LV/OAK,910000,0,7478000,0.061,AFC,AFC West,8,8,0,0.5,3,359,433,-74,0.4375,0.503906,No,No
77,Kevin Williams,31,2011,DT,Defense,MIN,6000000,0,7416666,0.061,NFC,NFC North,3,13,0,0.1875,4,340,449,-109,0.395833,0.558594,No,No
78,Travelle Wharton,30,2011,G,Offense,CAR,5400000,2000000,7400000,0.06,NFC,NFC South,6,10,0,0.375,3,406,429,-23,0.3125,0.503906,No,No
79,Domonique Foxworth,28,2011,CB,Defense,BAL,4400000,1000000,7400000,0.059,AFC,AFC North,12,4,0,0.75,1,378,266,112,0.484375,0.476562,Yes,No
80,Chris Canty,29,2011,DE,Defense,NYG,5250000,1700000,7200000,0.059,NFC,NFC East,9,7,0,0.5625,1,394,400,-6,0.465278,0.519531,Yes,Yes
81,Chad Greenway,28,2011,OLB,Defense,MIN,5500000,1700000,7200000,0.059,NFC,NFC North,3,13,0,0.1875,4,340,449,-109,0.395833,0.558594,No,No
82,London Fletcher,36,2011,ILB,Defense,WAS,4900000,2100000,7100000,0.053,NFC,NFC East,5,11,0,0.3125,4,288,367,-79,0.4375,0.476562,No,No
83,Haloti Ngata,27,2011,DT,Defense,BAL,2100000,5000000,7100000,0.056,AFC,AFC North,12,4,0,0.75,1,378,266,112,0.484375,0.476562,Yes,No
84,Casey Hampton,34,2011,DT,Defense,PIT,3910000,2166667,7076667,0.059,AFC,AFC North,12,4,0,0.75,2,325,227,98,0.411458,0.492188,Yes,No
85,Matt Cassel,29,2011,QB,Offense,KC,4750000,200000,7075000,0.049,AFC,AFC West,7,9,0,0.4375,4,212,338,-126,0.464286,0.511719,No,No
86,Frank Gore,28,2011,RB,Offense,SF,3900000,1300000,7033000,0.051,NFC,NFC West,13,3,0,0.8125,1,380,229,151,0.418269,0.449219,Yes,No
87,Asante Samuel,30,2011,CB,Defense,PHI,5900000,1000000,7000000,0.053,NFC,NFC East,8,8,0,0.5,2,396,328,68,0.398438,0.488281,No,No
88,Vernon Davis,27,2011,TE,Offense,SF,4708000,1666666,6974666,0.051,NFC,NFC West,13,3,0,0.8125,1,380,229,151,0.418269,0.449219,Yes,No
89,A.J. Hawk,27,2011,OLB,Defense,GB,1150000,1600000,6921250,0.055,NFC,NFC North,15,1,0,0.9375,1,560,359,201,0.458333,0.457031,Yes,No
90,Cullen Jenkins,30,2011,DE,Defense,PHI,3875000,0,6875000,0.052,NFC,NFC East,8,8,0,0.5,2,396,328,68,0.398438,0.488281,No,No
91,Leon Hall,27,2011,CB,Defense,CIN,5037500,1800000,6837500,0.051,AFC,AFC North,9,7,0,0.5625,3,344,323,21,0.326389,0.492188,Yes,No
92,Jason Peters,29,2011,LT,Offense,PHI,5900000,292000,6834000,0.052,NFC,NFC East,8,8,0,0.5,2,396,328,68,0.398438,0.488281,No,No
93,Brandon Jacobs,29,2011,RB,Offense,NYG,4650000,2000000,6750000,0.056,NFC,NFC East,9,7,0,0.5625,1,394,400,-6,0.465278,0.519531,Yes,Yes
94,Antoine Winfield,34,2011,CB,Defense,MIN,6750000,0,6750000,0.055,NFC,NFC North,3,13,0,0.1875,4,340,449,-109,0.395833,0.558594,No,No
95,Steve Hutchinson,34,2011,G,Offense,MIN,6680000,0,6730000,0.055,NFC,NFC North,3,13,0,0.1875,4,340,449,-109,0.395833,0.558594,No,No
96,Jeff Backus,34,2011,T,Offense,DET,5450000,0,6723176,0.055,NFC,NFC North,10,6,0,0.625,2,474,387,87,0.39375,0.535156,Yes,No
97,Rolando McClain,22,2011,ILB,Defense,LV/OAK,450000,0,6575000,0.053,AFC,AFC West,8,8,0,0.5,3,359,433,-74,0.4375,0.503906,No,No
98,Patrick Willis,26,2011,ILB,Defense,SF,1594455,3543333,6538413,0.048,NFC,NFC West,13,3,0,0.8125,1,380,229,151,0.418269,0.449219,Yes,No
99,Roddy White,30,2011,WR,Offense,ATL,4000000,1200000,6525000,0.054,NFC,NFC South,10,6,0,0.625,2,402,350,52,0.375,0.480469,Yes,No
100,Chris Snee,29,2011,G,Offense,NYG,3700000,2250000,6500000,0.054,NFC,NFC East,9,7,0,0.5625,1,394,400,-6,0.465278,0.519531,Yes,Yes
101,Michael Roos,29,2011,LT,Offense,TEN,5000000,1500000,6500000,0.051,AFC,AFC South,9,7,0,0.5625,2,325,317,8,0.395833,0.460938,No,No
102,Andre Johnson,30,2011,WR,Offense,HOU,1300000,2611335,6494668,0.054,AFC,AFC South,10,6,0,0.625,1,381,278,103,0.4125,0.453125,Yes,No
103,DeMarcus Ware,29,2011,OLB,Defense,DAL,685000,4000000,6488000,0.047,NFC,NFC East,8,8,0,0.5,3,369,347,22,0.375,0.472656,No,No
104,Glenn Dorsey,26,2011,DE,Defense,KC,4082250,0,6419250,0.045,AFC,AFC West,7,9,0,0.4375,4,212,338,-126,0.464286,0.511719,No,No
105,Tony Romo,31,2011,QB,Offense,DAL,810000,1916000,6410499,0.047,NFC,NFC East,8,8,0,0.5,3,369,347,22,0.375,0.472656,No,No
106,Chris Johnson,26,2011,RB,Offense,TEN,3000000,2050002,6370002,0.05,AFC,AFC South,9,7,0,0.5625,2,325,317,8,0.395833,0.460938,No,No
107,Corey Webster,29,2011,CB,Defense,NYG,3500000,875000,6345000,0.052,NFC,NFC East,9,7,0,0.5625,1,394,400,-6,0.465278,0.519531,Yes,Yes
108,Ron Bartell,29,2011,CB,Defense,LAR/STL,5200000,1130000,6330000,0.051,NFC,NFC West,2,14,0,0.125,4,193,407,-214,0.53125,0.589844,No,No
109,Jason Brown,28,2011,G,Offense,LAR/STL,4000000,2200000,6200000,0.05,NFC,NFC West,2,14,0,0.125,4,193,407,-214,0.53125,0.589844,No,No
110,Marcus Trufant,31,2011,CB,Defense,SEA,3000000,1666667,6183333,0.044,NFC,NFC West,7,9,0,0.4375,3,321,315,6,0.4375,0.511719,No,No
111,D.J. Williams,29,2011,ILB,Defense,DEN,4900000,250000,6150000,0.042,AFC,AFC West,8,8,0,0.5,1,309,390,-81,0.445312,0.519531,Yes,No
112,Chris Cooley,29,2011,TE,Offense,WAS,3700000,500000,6133333,0.046,NFC,NFC East,5,11,0,0.3125,4,288,367,-79,0.4375,0.476562,No,No
113,Matthew Stafford,23,2011,QB,Offense,DET,525000,0,6123750,0.05,NFC,NFC North,10,6,0,0.625,2,474,387,87,0.39375,0.535156,Yes,No
114,Calvin Pace,31,2011,OLB,Defense,NYJ,855000,1833333,6118333,0.048,AFC,AFC East,8,8,0,0.5,2,377,363,14,0.398438,0.5,No,No
115,Chad Clifton,35,2011,T,Offense,GB,5750000,0,6093750,0.049,NFC,NFC North,15,1,0,0.9375,1,560,359,201,0.458333,0.457031,Yes,No
116,Jerod Mayo,25,2011,ILB,Defense,NE,600000,3200000,6075000,0.048,AFC,AFC East,13,3,0,0.8125,1,513,342,171,0.423077,0.449219,Yes,No
117,Maurice Jones-Drew,26,2011,RB,Offense,JAX,4050000,1800000,6000000,0.04,AFC,AFC South,5,11,0,0.3125,3,243,329,-86,0.3625,0.5,No,No
118,Quincy Black,27,2011,LB,Defense,TB,6000000,0,6000000,0.042,NFC,NFC South,4,12,0,0.25,4,287,494,-207,0.4375,0.550781,No,No
119,Robert Geathers,28,2011,DE,Defense,CIN,3950000,1833333,5983333,0.044,AFC,AFC North,9,7,0,0.5625,3,344,323,21,0.326389,0.492188,Yes,No
120,Antonio Gates,31,2011,TE,Offense,LAC/SD,5200000,762500,5962500,0.05,AFC,AFC West,8,8,0,0.5,2,406,377,29,0.429688,0.515625,No,No
121,Antoine Bethea,27,2011,SS,Defense,IND,4745000,1000000,5745000,0.047,AFC,AFC South,2,14,0,0.125,4,243,430,-187,0.59375,0.539062,No,No
122,Joe Flacco,26,2011,QB,Offense,BAL,4485000,0,5725000,0.045,AFC,AFC North,12,4,0,0.75,1,378,266,112,0.484375,0.476562,Yes,No
123,Jon Beason,26,2011,ILB,Defense,CAR,1040000,4000000,5724168,0.047,NFC,NFC South,6,10,0,0.375,3,406,429,-23,0.3125,0.503906,No,No
124,Jake Scott,30,2011,G,Offense,TEN,4700000,1000000,5700000,0.044,AFC,AFC South,9,7,0,0.5625,2,325,317,8,0.395833,0.460938,No,No
125,Ryan Fitzpatrick,29,2011,QB,Offense,BUF,3220000,2390000,5610000,0.04,AFC,AFC East,6,10,0,0.375,4,372,434,-62,0.510417,0.519531,No,No
126,Tramon Williams,28,2011,CB,Defense,GB,1000000,2000000,5600000,0.045,NFC,NFC North,15,1,0,0.9375,1,560,359,201,0.458333,0.457031,Yes,No
127,Donald Driver,36,2011,WR,Offense,GB,4100000,0,5600000,0.045,NFC,NFC North,15,1,0,0.9375,1,560,359,201,0.458333,0.457031,Yes,No
128,Luis Castillo,36,2011,DE,Defense,LAC/SD,4500000,1025000,5600000,0.047,AFC,AFC West,8,8,0,0.5,2,406,377,29,0.429688,0.515625,No,No
129,Darnell Dockett,30,2011,DE,Defense,ARI,2350000,0,5600000,0.046,NFC,NFC West,8,8,0,0.5,2,312,348,-36,0.390625,0.46875,No,No
130,E.J. Henderson,31,2011,LB,Defense,MIN,4700000,0,5600000,0.046,NFC,NFC North,3,13,0,0.1875,4,340,449,-109,0.395833,0.558594,No,No
131,Sean Weatherspoon,24,2011,ILB,Defense,ATL,450000,100000,5551250,0.046,NFC,NFC South,10,6,0,0.625,2,402,350,52,0.375,0.480469,Yes,No
132,Sedrick Ellis,26,2011,DT,Defense,NO,3782000,0,5532000,0.044,NFC,NFC South,13,3,0,0.8125,1,547,339,208,0.442308,0.441406,Yes,No
133,Logan Mankins,29,2011,G,Offense,NE,1500000,4000000,5500000,0.043,AFC,AFC East,13,3,0,0.8125,1,513,342,171,0.423077,0.449219,Yes,No
134,Eric Winston,28,2011,RT,Offense,HOU,4500000,1000000,5500000,0.046,AFC,AFC South,10,6,0,0.625,1,381,278,103,0.4125,0.453125,Yes,No
135,David Stewart,29,2011,RT,Offense,TEN,4500000,1000000,5500000,0.043,AFC,AFC South,9,7,0,0.5625,2,325,317,8,0.395833,0.460938,No,No
136,Maurkice Pouncey,22,2011,C,Offense,PIT,450000,0,5473625,0.045,AFC,AFC North,12,4,0,0.75,2,325,227,98,0.411458,0.492188,Yes,No
137,Nate Clements,32,2011,CB,Defense,CIN,1400000,1000000,5400000,0.04,AFC,AFC North,9,7,0,0.5625,3,344,323,21,0.326389,0.492188,Yes,No
138,Terrence McGee,31,2011,CB,Defense,BUF,3200000,600000,5400000,0.039,AFC,AFC East,6,10,0,0.375,4,372,434,-62,0.510417,0.519531,No,No
139,Derek Anderson,28,2011,QB,Offense,ARI,4087500,1250000,5387500,0.044,NFC,NFC West,8,8,0,0.5,2,312,348,-36,0.390625,0.46875,No,No
140,Lawrence Timmons,25,2011,ILB,Defense,PIT,1000000,2000000,5378750,0.045,AFC,AFC North,12,4,0,0.75,2,325,227,98,0.411458,0.492188,Yes,No
141,Barry Cofield,27,2011,DT,Defense,WAS,3200000,1800000,5300000,0.04,NFC,NFC East,5,11,0,0.3125,4,288,367,-79,0.4375,0.476562,No,No
142,Jason Babin,31,2011,DE,Defense,PHI,1000000,300000,5300000,0.04,NFC,NFC East,8,8,0,0.5,2,396,328,68,0.398438,0.488281,No,No
143,James Harrison,33,2011,OLB,Defense,PIT,1176470,2000000,5291470,0.044,AFC,AFC North,12,4,0,0.75,2,325,227,98,0.411458,0.492188,Yes,No
144,Nick Mangold,27,2011,C,Offense,NYJ,2260000,3007100,5267100,0.041,AFC,AFC East,8,8,0,0.5,2,377,363,14,0.398438,0.5,No,No
145,Jarret Johnson,30,2011,OLB,Defense,BAL,3500000,1080000,5265000,0.042,AFC,AFC North,12,4,0,0.75,1,378,266,112,0.484375,0.476562,Yes,No
146,Yeremiah Bell,33,2011,S,Defense,MIA,3700000,1500000,5250000,0.041,AFC,AFC East,6,10,0,0.375,3,329,313,16,0.416667,0.503906,No,No
147,Jay Ratliff,30,2011,DT,Defense,DAL,1625000,3600000,5225000,0.038,NFC,NFC East,8,8,0,0.5,3,369,347,22,0.375,0.472656,No,No
148,Karlos Dansby,30,2011,ILB,Defense,MIA,2700000,800000,5225000,0.04,AFC,AFC East,6,10,0,0.375,3,329,313,16,0.416667,0.503906,No,No
149,Jahri Evans,28,2011,G,Offense,NO,3000000,2000000,5200000,0.042,NFC,NFC South,13,3,0,0.8125,1,547,339,208,0.442308,0.441406,Yes,No
150,Shaun Phillips,30,2011,DE,Defense,LAC/SD,3900000,1166667,5166667,0.043,AFC,AFC West,8,8,0,0.5,2,406,377,29,0.429688,0.515625,No,No
151,Michael Crabtree,24,2011,WR,Offense,SF,3875000,770443,5145443,0.038,NFC,NFC West,13,3,0,0.8125,1,380,229,151,0.418269,0.449219,Yes,No
152,Charles Tillman,30,2011,CB,Defense,CHI,3400000,1416666,5116666,0.04,NFC,NFC North,8,8,0,0.5,3,353,341,12,0.40625,0.527344,No,No
153,Antonio Smith,30,2011,DE,Defense,HOU,1600000,2500000,5100000,0.042,AFC,AFC South,10,6,0,0.625,1,381,278,103,0.4125,0.453125,Yes,No
154,Justin Tuck,28,2011,DE,Defense,NYG,3450000,1500000,5100000,0.042,NFC,NFC East,9,7,0,0.5625,1,394,400,-6,0.465278,0.519531,Yes,Yes
155,Donovan McNabb,35,2011,QB,Offense,MIN,5050000,0,5050000,0.041,NFC,NFC North,3,13,0,0.1875,4,340,449,-109,0.395833,0.558594,No,No
156,Daryl Smith,29,2011,ILB,Defense,JAX,4200000,750000,5000000,0.033,AFC,AFC South,5,11,0,0.3125,3,243,329,-86,0.3625,0.5,No,No
157,DeAngelo Hall,28,2011,CB,Defense,WAS,4500000,0,5000000,0.037,NFC,NFC East,5,11,0,0.3125,4,288,367,-79,0.4375,0.476562,No,No
158,Trent Cole,29,2011,OLB,Defense,PHI,3900000,0,5000000,0.038,NFC,NFC East,8,8,0,0.5,2,396,328,68,0.398438,0.488281,No,No
159,Corey Williams,31,2011,DT,Defense,DET,4900000,0,5000000,0.041,NFC,NFC North,10,6,0,0.625,2,474,387,87,0.39375,0.535156,Yes,No
160,Matt Hasselbeck,36,2011,QB,Offense,TEN,3000000,2000000,5000000,0.039,AFC,AFC South,9,7,0,0.5625,2,325,317,8,0.395833,0.460938,No,No
161,Aaron Kampman,32,2011,DE,Defense,JAX,2450000,2500000,4975000,0.033,AFC,AFC South,5,11,0,0.3125,3,243,329,-86,0.3625,0.5,No,No
162,Isaac Sopoaga,30,2011,DT,Defense,SF,3800000,955000,4945625,0.036,NFC,NFC West,13,3,0,0.8125,1,380,229,151,0.418269,0.449219,Yes,No
